season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2026,1,ARI,REG,2026_01_ARI_LAC,LAC,27,37,277,1,0,1,0,0,0,283,98,15,9.012864685153245,4.605903093879287,0,13,4,2,0,34,116,1,0,0,7,-0.5958587992174398,0,3,1,0,0,27,37,277,1,0,0,283,98,15,10.60898277023959,0,13,4,2,0,0,33,1,19,5,22,1,3.0,22.0,5,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,111,3,0,0,0,0,0,0,0,3,69,4,5,1,0,49.0,0.8,0,1,1,2,0,0,0,0,0,0,1,0,27;44;34;49,54,,154,54,0,2,2,0,0,1.0,0,0,0,0,0,3,0,61.0,158,1,0,0,2,1,0,0,0,118
2026,1,ATL,REG,2026_01_ATL_PIT,PIT,12,22,143,1,2,4,-25,0,0,77,118,4,-15.764547433458114,-10.418013365645157,0,5,4,3,0,31,120,0,1,0,9,-2.532778510663044,0,3,3,1,0,12,19,143,1,1,0,77,118,4,-7.013960702447997,0,5,4,3,0,0,33,2,28,4,20,1,2.0,15.0,6,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,96,5,2,0,0,2,0,3,33,4,123,2,4,2,0,51.0,0.5,0,0,0,1,1,0,0,0,0,1,1,0,51;43,54;45,,94,99,0,1,1,0,0,1.0,0,0,0,0,0,6,0,60.0,289,3,0,0,2,2,2,13,0,236
2026,1,BAL,REG,2026_01_BAL_IND,IND,17,25,324,1,0,2,-20,1,1,269,169,11,10.343673247451648,4.801740248998006,0,13,7,3,3,37,202,4,0,0,12,6.658931777352398,0,6,5,2,0,17,24,324,1,0,0,269,169,11,17.214923517603893,0,13,7,3,3,0,32,1,25,6,24,1,2.0,17.0,9,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,86,4,1,0,0,1,1,3,30,5,151,2,2,0,0,57.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,57;45,,,102,0,0,5,5,0,0,1.0,0,0,0,0,0,3,0,53.0,140,3,1,0,0,2,0,0,0,140
2026,1,BUF,REG,2026_01_BUF_HOU,HOU,20,29,334,2,0,2,-11,0,0,383,109,13,14.535023926041614,8.141485282352992,0,12,9,5,2,21,86,2,2,0,5,-2.6135950712196063,0,3,2,1,0,20,28,334,2,0,0,383,109,13,18.642609215848207,0,12,9,5,2,0,38,2,52,8,27,2,3.0,17.0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,-2,2,0,0,10,85,1,1,1,0,2,0,2,10,5,133,3,3,0,0,46.0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,46;34;33,,,113,0,0,3,3,0,0,1.0,0,0,0,0,0,2,0,63.0,109,1,0,1,0,1,0,0,0,109
2026,1,CAR,REG,2026_01_CHI_CAR,CHI,23,38,361,3,1,2,-8,0,0,366,156,17,15.13862835448766,4.170120901921216,0,15,8,5,2,22,125,2,0,0,5,1.2128796904580668,0,3,1,1,0,23,34,361,3,1,1,366,156,17,16.20150897675194,0,15,8,5,2,0,45,1,27,4,11,1,2.0,8.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,84,5,1,1,0,2,2,2,17,7,153,1,1,0,0,44.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,4,5,0,1,0.8,0,0,0,0,0,3,0,61.0,147,0,1,0,1,0,1,23,0,104
2026,1,CHI,REG,2026_01_CHI_CAR,CAR,21,29,269,2,0,2,-8,0,0,319,80,13,18.565287171866746,16.58033785911707,0,11,5,4,1,39,291,6,0,0,11,14.731454032182228,0,5,5,4,1,21,26,269,2,1,1,319,80,13,18.177262109882665,0,11,5,4,1,0,31,0,34,2,8,1,2.0,8.0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,57,2,1,0,0,1,1,1,23,4,85,1,1,0,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,8,8,0,0,1.0,0,0,0,0,0,2,0,54.0,102,0,0,0,0,0,2,17,0,85
2026,1,CIN,REG,2026_01_TB_CIN,TB,25,35,254,1,1,1,-9,0,0,226,144,14,-2.6269530624217747,6.35173276943319,0,12,7,3,0,27,106,1,0,0,10,-0.6561809138220269,0,4,2,0,0,25,34,254,1,0,0,226,144,14,2.1286128661129133,0,12,7,3,0,0,41,0,22,5,24,4,4.0,23.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,1,7,47,5,0,0,0,0,0,0,0,6,142,4,4,0,0,58.0,1.0,0,1,1,0,2,0,0,0,0,0,0,0,20;55;58;32,,,165,0,0,3,3,0,0,1.0,0,0,0,0,0,1,0,51.0,51,0,0,0,0,0,1,13,0,38
2026,1,CLE,REG,2026_01_CLE_JAX,JAX,16,22,205,1,1,5,-20,1,0,228,95,9,-5.560122194518736,10.32099574804306,0,8,4,3,1,22,87,0,0,0,5,0.8057772548054345,0,1,0,0,0,16,22,205,1,1,1,228,95,9,-1.2150515057662785,0,8,4,3,1,0,24,2,42,4,17,1,1.0,11.0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,75,3,2,0,0,2,1,1,10,6,228,1,1,0,0,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,1,1,0,0,1.0,0,0,0,0,0,3,0,48.0,130,1,0,0,0,2,1,-5,0,135
2026,1,DAL,REG,2026_01_DAL_NYG,NYG,22,34,175,2,1,0,0,0,0,309,91,12,10.380902764562052,7.729866604010264,0,8,2,0,0,18,69,1,0,0,4,1.0939399310736917,0,1,0,0,0,22,30,175,2,0,0,309,91,12,13.508291915524751,0,8,2,0,0,0,36,0,44,3,9,4,2.0,1.0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,9,90,5,0,0,0,0,0,0,0,5,122,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0,2,0,50.0,96,2,0,0,0,2,0,0,0,96
2026,1,DEN,REG,2026_01_DEN_KC,KC,17,28,131,1,1,4,-16,2,1,92,90,6,-14.381391775154043,-7.779540839018645,0,5,1,0,0,15,61,0,1,0,2,-1.435866871038617,0,1,1,0,0,17,27,131,1,0,0,92,90,6,-6.503765182977077,0,5,1,0,0,0,33,2,40,3,14,0,2.0,12.0,5,1,24,4,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,7,52,3,1,2,1,3,1,2,36,5,138,1,1,0,0,31.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,1,1,0,0,1.0,0,0,0,0,0,6,0,68.0,314,3,0,1,1,2,2,7,0,287
2026,1,DET,REG,2026_01_NO_DET,NO,26,39,206,2,0,1,-2,0,0,207,97,10,5.854510969133761,-2.90968670294835,0,6,3,1,0,33,165,2,1,0,14,-0.7072072079754435,0,7,3,1,0,26,39,206,2,1,1,207,97,10,1.2705823449657232,0,6,3,1,0,0,54,0,28,7,35,1,5.0,32.0,9,2,4,8,0,0,0,0,0,0,0,0,0,1,-6,1,0,0,8,61,3,1,1,0,2,1,3,35,4,84,1,1,0,0,23.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,4,4,0,0,1.0,0,0,0,0,0,7,0,56.0,336,3,0,1,1,1,4,21,0,295
2026,1,GB,REG,2026_01_GB_MIN,MIN,21,42,387,2,1,4,-34,2,1,469,160,16,-2.7036460936736164,-9.65405449271202,0,12,8,7,3,21,66,0,0,0,3,-9.00967433155165,0,2,2,0,0,21,40,387,2,0,0,469,160,16,8.114288852628942,0,12,8,7,3,0,45,1,13,4,16,0,3.0,19.0,6,1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,98,3,2,0,0,2,1,2,17,6,176,3,3,0,0,59.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,59;43;26,,,128,0,0,1,2,1,0,0.5,0,0,0,0,0,3,0,49.0,116,2,1,1,0,0,1,13,0,103
2026,1,HOU,REG,2026_01_BUF_HOU,BUF,26,38,274,2,0,3,-17,2,2,322,114,11,1.4964428132799918,3.161677476522085,0,10,7,4,0,32,124,2,0,0,10,3.533818865485955,0,4,3,0,0,26,37,274,2,0,0,322,114,11,10.733134218956529,0,10,7,4,0,0,29,0,28,3,9,1,2.0,11.0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,106,4,2,0,0,2,2,0,0,8,202,1,1,0,0,58.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,4,4,0,0,1.0,0,0,0,0,0,4,0,59.0,208,2,0,2,0,0,2,10,0,198
2026,1,IND,REG,2026_01_BAL_IND,BAL,19,31,166,1,1,2,-17,0,0,201,76,8,-9.612229877368634,-5.060457874988687,0,7,2,2,0,20,102,2,0,0,8,2.4474834225839004,0,5,3,1,0,19,29,166,1,1,1,201,76,8,-8.047693938525015,0,7,2,2,0,0,43,0,28,0,0,1,2.0,20.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,29,2,1,0,0,1,1,0,0,6,197,1,1,0,0,58.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0,5,0,59.0,263,0,0,0,0,2,3,30,0,233
2026,1,JAX,REG,2026_01_CLE_JAX,CLE,18,23,245,4,0,1,-11,0,0,242,61,13,19.021475746762007,22.325369857606432,0,11,6,4,0,32,126,0,0,0,8,-1.0985837582445042,0,5,3,0,0,18,21,245,4,1,0,242,61,13,22.313696018769406,0,11,6,4,0,0,35,0,28,6,16,2,5.0,20.0,8,1,22,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,25,0,1,0,0,1,0,1,-5,3,82,2,2,0,0,47.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,47;40,,,87,0,0,4,4,0,0,1.0,0,0,0,0,0,2,0,58.0,108,1,0,0,0,1,1,10,0,98
2026,1,KC,REG,2026_01_DEN_KC,DEN,15,27,184,2,1,2,-12,0,0,133,166,7,-2.3018313947744926,-11.91810131072998,0,5,3,2,1,38,220,2,0,0,11,8.539544299070258,0,5,5,2,1,15,25,184,2,0,0,133,166,7,2.6707560090580955,0,5,3,2,1,0,26,0,28,3,9,1,3.0,9.0,5,1,5,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,60,2,0,2,0,2,0,2,7,3,78,1,1,0,0,28.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,4,4,0,0,1.0,0,0,0,0,0,4,0,63.0,218,2,0,1,0,1,2,36,0,182
2026,1,LA,REG,2026_01_SF_LA,SF,17,28,168,0,1,0,0,0,0,255,88,6,-5.42227216711035,-4.742071032524109,0,6,3,2,1,29,122,1,0,0,7,-3.7919185115024447,0,2,1,0,0,17,27,168,0,1,1,255,88,6,-10.278679996088613,0,6,3,2,1,0,36,0,42,1,1,0,0.0,0.0,2,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,43,1,2,0,0,2,1,1,11,5,119,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0,3,0,54.0,145,2,0,0,0,1,2,17,0,128
2026,1,LAC,REG,2026_01_ARI_LAC,ARI,17,27,209,1,1,3,-22,0,0,273,78,9,-5.607666317024268,-6.209376123216417,0,10,4,2,0,21,81,1,1,1,6,-6.834242858982179,0,2,1,0,0,17,27,209,1,0,0,273,78,9,0.009720406786073,0,10,4,2,0,0,43,0,36,1,1,0,1.0,0.0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,4,1,0,0,1,1,0,0,4,80,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,2,1,51.0,99,1,0,0,0,2,0,0,0,99
2026,1,LV,REG,2026_01_MIA_LV,MIA,21,30,160,3,2,0,0,0,0,226,70,10,0.3931946623592959,0.7089010600385994,0,6,1,1,0,37,130,0,0,0,9,-4.975033090973739,0,4,2,0,0,21,29,160,3,0,0,226,70,10,0.907319659319459,0,6,1,1,0,0,25,3,35,7,25,2,5.0,35.0,11,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,29,3,0,0,0,0,0,2,35,2,95,2,2,0,0,47.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,47;30,,,77,0,0,3,3,0,0,1.0,0,0,0,0,0,3,0,72.0,190,1,0,1,1,0,1,17,0,153
2026,1,MIA,REG,2026_01_MIA_LV,LV,15,27,220,0,1,5,-35,0,0,309,96,7,-5.48974969708947,-8.850246557482967,0,10,5,5,0,18,74,1,1,0,4,-2.564607670590293,0,2,1,0,0,15,27,220,0,1,1,309,96,7,-0.7116873609305276,0,10,5,5,0,0,37,0,40,7,22,0,0.0,0.0,2,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,6,2,0,1,2,1,1,17,5,162,2,3,1,0,41.0,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,41;37,41,,78,41,0,1,1,0,0,1.0,0,0,0,0,0,4,0,59.0,183,2,0,0,0,2,2,35,0,148
2026,1,MIN,REG,2026_01_GB_MIN,GB,15,24,151,3,1,3,-19,0,0,176,46,8,0.5188167637349661,-4.892612410628277,1,4,3,1,0,34,107,2,0,0,6,-1.6750803840404842,0,1,1,1,0,15,23,151,3,0,0,176,46,8,5.783733707121163,1,4,3,1,0,0,45,3,11,7,26,2,4.0,34.0,15,1,28,4,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,15,1,0,0,0,0,0,1,13,5,179,1,1,0,0,38.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,4,4,0,0,1.0,0,0,0,0,0,4,0,48.0,161,3,0,0,0,2,2,17,0,144
2026,1,NE,REG,2026_01_NE_SEA,SEA,23,33,178,1,3,3,-10,0,0,221,111,9,-4.621354154985982,5.9704506589520365,0,9,2,0,0,31,109,0,0,0,7,-2.723739971232135,0,3,2,0,0,23,31,178,1,0,0,221,111,9,-0.5060224196404464,0,9,2,0,0,0,38,0,14,3,15,0,2.0,12.0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,4,0,0,0,0,0,0,0,4,107,1,1,0,0,50.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,1,1,0,0,1.0,0,0,0,0,0,4,0,46.0,177,3,0,0,0,3,1,9,0,168
2026,1,NO,REG,2026_01_NO_DET,DET,35,56,410,3,2,5,-32,1,1,483,116,19,-1.007320272566536,-1.2056044661081755,0,14,9,6,2,25,91,1,1,0,7,-1.6562374110799283,0,2,2,0,0,35,52,410,3,0,0,483,116,19,11.918675624678686,0,14,9,6,2,0,42,0,42,5,15,1,1.0,2.0,8,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,53,5,1,1,0,2,1,4,21,4,74,1,2,1,0,28.0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,28,62,,28,62,0,3,3,0,0,1.0,0,0,0,0,0,5,0,57.0,238,2,0,1,0,1,3,35,0,203
2026,1,NYG,REG,2026_01_DAL_NYG,DAL,23,29,230,3,0,2,-1,1,0,245,86,14,21.912451848300407,13.383558186991461,0,10,5,0,0,37,165,1,2,1,11,-0.6814558839832898,0,4,3,1,0,23,29,230,3,1,0,245,86,14,22.838031111255987,0,10,5,0,0,0,37,1,11,1,5,0,0.0,0.0,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,114,3,4,0,0,4,1,0,0,3,65,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0,1,0,46.0,46,1,0,1,0,0,0,0,0,46
2026,1,NYJ,REG,2026_01_NYJ_TEN,TEN,19,24,215,0,0,0,0,0,0,168,82,7,9.754852104458761,12.836020925770635,0,5,5,4,1,39,152,2,1,0,11,-2.234039743933286,0,3,3,0,0,19,23,215,0,0,0,168,82,7,9.914319399212756,0,5,5,4,1,0,30,0,16,4,14,1,3.0,13.0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,-6,1,0,0,8,48,4,0,1,0,1,0,2,29,0,0,3,4,1,0,52.0,0.75,0,0,1,0,2,0,0,0,0,0,1,0,33;51;52,54,,136,54,0,2,2,0,0,1.0,0,0,0,0,0,3,0,50.0,139,2,0,2,0,0,1,-5,0,144
